,loss,accuracy,recall_m,precision_m,f1_m,val_loss,val_accuracy,val_recall_m,val_precision_m,val_f1_m
0,1.818001627922058,0.29976579546928406,0.07096962630748749,0.4141077697277069,0.11804822087287903,1.7828689813613892,0.33859649300575256,0.18090277910232544,0.56593918800354,0.2669905722141266
1,1.636258602142334,0.37646371126174927,0.13785046339035034,0.5735462307929993,0.21675696969032288,1.5538995265960693,0.410526305437088,0.19826388359069824,0.6485229730606079,0.29519790410995483
2,1.5207842588424683,0.432084321975708,0.19509345293045044,0.6270752549171448,0.29282236099243164,1.3789278268814087,0.519298255443573,0.26354166865348816,0.7652117609977722,0.3860379755496979
3,1.3854483366012573,0.49355971813201904,0.27862149477005005,0.6965903639793396,0.39226770401000977,1.2687443494796753,0.5140351057052612,0.3732638955116272,0.7159767150878906,0.4851985573768616
4,1.3355848789215088,0.5161007046699524,0.3230140209197998,0.7045141458511353,0.4377090632915497,1.2378288507461548,0.5684210658073425,0.40312498807907104,0.7132059931755066,0.5099883675575256
5,1.2739806175231934,0.5365924835205078,0.35192757844924927,0.7334702610969543,0.46940770745277405,1.1978791952133179,0.5964912176132202,0.4861111044883728,0.7125577330589294,0.5726397037506104
6,1.2118979692459106,0.5591334700584412,0.39135512709617615,0.7362667322158813,0.504647433757782,1.4960780143737793,0.40877193212509155,0.31909722089767456,0.5419542789459229,0.39602768421173096
7,1.2084792852401733,0.5550351142883301,0.40332943201065063,0.7423313856124878,0.5180431604385376,1.116523265838623,0.6000000238418579,0.42673611640930176,0.7895864248275757,0.5492400527000427
8,1.1534942388534546,0.5866510272026062,0.42786213755607605,0.7533918023109436,0.5409494638442993,1.154021143913269,0.6052631735801697,0.4798611104488373,0.7596349120140076,0.5855027437210083
9,1.1586447954177856,0.5775761008262634,0.4237733781337738,0.7446626424789429,0.5350290536880493,1.1320300102233887,0.5964912176132202,0.47951391339302063,0.6966922283172607,0.5626863837242126
10,1.12923002243042,0.6033372282981873,0.45064252614974976,0.7712708711624146,0.5641283392906189,1.1399126052856445,0.5894736647605896,0.4225694239139557,0.7909421920776367,0.5440056324005127
11,1.0883084535598755,0.6077283620834351,0.4672897160053253,0.7677087783813477,0.5769219994544983,1.6799017190933228,0.44035089015960693,0.3861111104488373,0.4741058945655823,0.4248048663139343
12,1.083727478981018,0.6071428656578064,0.46641355752944946,0.7557681202888489,0.5724508762359619,1.0312687158584595,0.6385964751243591,0.49861112236976624,0.7883648872375488,0.6033127307891846
13,1.0676218271255493,0.6106557250022888,0.4754672944545746,0.7707956433296204,0.5839528441429138,1.0363342761993408,0.6350877285003662,0.5451388955116272,0.7369599938392639,0.6231724619865417
14,1.060020089149475,0.6220725774765015,0.4897780418395996,0.77740877866745,0.5969251394271851,1.2250462770462036,0.5684210658073425,0.5006944537162781,0.7043591737747192,0.5812228322029114
15,1.0780787467956543,0.608021080493927,0.4778037369251251,0.7597226500511169,0.5822746157646179,1.2120684385299683,0.5403508543968201,0.44409722089767456,0.691206157207489,0.5358171463012695
16,1.0373435020446777,0.6235362887382507,0.4874415993690491,0.7775236368179321,0.5946171283721924,1.2610970735549927,0.5666666626930237,0.4628472328186035,0.7072575688362122,0.5546314716339111
17,1.019047737121582,0.6381732821464539,0.5029205679893494,0.7744495868682861,0.6059487462043762,1.0365289449691772,0.6456140279769897,0.5371527671813965,0.7468446493148804,0.6215627789497375
18,1.028249979019165,0.6378805637359619,0.5055490732192993,0.7812731862068176,0.6101808547973633,1.181795358657837,0.5789473652839661,0.5104166865348816,0.6841683983802795,0.5802945494651794
19,0.992013156414032,0.6472482681274414,0.5192757248878479,0.7882096767425537,0.622399091720581,1.539990782737732,0.5333333611488342,0.46145832538604736,0.5859227180480957,0.514000654220581
20,1.003656268119812,0.6454917788505554,0.5143107771873474,0.7794898152351379,0.615882933139801,1.3567208051681519,0.5666666626930237,0.5125000476837158,0.6470892429351807,0.5693045854568481
21,0.9982069730758667,0.6384660601615906,0.5227803587913513,0.7826734781265259,0.6229577660560608,1.057144284248352,0.6228070259094238,0.48229163885116577,0.7602447271347046,0.580154538154602
22,0.978269100189209,0.6533957719802856,0.5321261882781982,0.789473831653595,0.6317417025566101,1.3832130432128906,0.5403508543968201,0.4826388955116272,0.5766973495483398,0.523578405380249
23,0.9429048895835876,0.6697892546653748,0.5560747385025024,0.8059436678886414,0.6541138887405396,0.9587315320968628,0.6631578803062439,0.6000000238418579,0.7549784183502197,0.6656969785690308
24,0.950999915599823,0.6572014093399048,0.5330023169517517,0.7854084372520447,0.6312243938446045,1.3284382820129395,0.5736842155456543,0.5163194537162781,0.6680406928062439,0.5804941654205322
25,0.9570832848548889,0.6566159129142761,0.5394275784492493,0.7810198068618774,0.6347261667251587,1.144657015800476,0.601754367351532,0.5204861164093018,0.7031375169754028,0.5956750512123108
26,0.9344306588172913,0.6700819730758667,0.5493574738502502,0.7944735288619995,0.6457476019859314,1.4241971969604492,0.5140351057052612,0.46388891339302063,0.5528115630149841,0.5032020807266235
27,0.934447169303894,0.6718384027481079,0.5554906725883484,0.7964305877685547,0.6507427096366882,1.2458889484405518,0.5982456207275391,0.5527777671813965,0.6924002170562744,0.6125473976135254
28,0.9210134148597717,0.6706674695014954,0.5540303587913513,0.7967252135276794,0.6495485901832581,1.2294429540634155,0.6105263233184814,0.5225694179534912,0.7187583446502686,0.6020002961158752
29,0.9178135395050049,0.6668618321418762,0.5709696412086487,0.8061583042144775,0.6654834151268005,1.0560877323150635,0.6649122834205627,0.5802083611488342,0.7696075439453125,0.6582798957824707
